"","x"
"1",-0.014182718285034
"2",-0.0130337877899961
"3",-0.0115739872852408
"4",-0.0107427812280303
"5",-0.00973138830024984
"6",-0.00888130656594062
"7",-0.00810691030053078
"8",-0.00738624570166416
"9",-0.00673854059863546
"10",-0.00614436541453225
"11",-0.00560303921940573
"12",-0.00510973046390288
"13",-0.0046595488604543
"14",-0.00424916986531755
"15",-0.00387489951256176
"16",-0.00353359111098109
"17",-0.00322235517874323
"18",-0.00293852720219394
"19",-0.00267970087675922
"20",-0.00244367188784548
"21",-0.00222843216980215
"22",-0.00203215105698026
"23",-0.00185315837368612
"24",-0.00168993145513645
"25",-0.00154108163219897
"26",-0.00140534255358479
"27",-0.00128155942991436
"28",-0.00116867917136128
"29",-0.00106574145039633
"30",-0.000971870524546916
"31",-0.000886267786621362
"32",-0.000808204971557045
"33",-0.000737017959924529
"34",-0.000672101128259244
"35",-0.000612902196652861
"36",-0.000558917530213814
"37",-0.00050968785441891
"38",-0.000464794347822278
"39",-0.000423855078936054
"40",-0.000386521756948338
