time,CPI,wage,return of equity,10 year,3 month
1980/2/15,0.012820513,0.005996664,12.04184362,11.093,14.63
1980/3/15,0.013924051,0.005423091,3.434113968,12.109,14.35
1980/4/15,0.009987516,-0.000267463,-2.993333333,12.01,10.68
1980/5/15,0.009888752,0.005350693,9.280021531,10.737,7.94
1980/6/15,0.009791922,0.008072027,10.77560212,9.179,8.15
1980/7/15,0.001212121,0.015706806,9.334897075,8.955,8.4
1980/8/15,0.007263923,0.011175604,10.6941956,9.388,10.12
1980/9/15,0.008413462,0.014693283,6.195266892,11.271,11.5
1980/10/15,0.009535161,0.020475366,9.011353162,11.414,13.22
1980/11/15,0.010625738,0.01150091,6.642399119,11.862,14.65
1980/12/15,0.009345794,0.011451943,11.31137012,12.935,14.11
1981/1/15,0.009259259,0.004690659,3.913225712,12.591,14.78
1981/2/15,0.009174312,0.006761652,-1.258856806,12.895,14.37
1981/3/15,0.006818182,0.009754537,9.168595855,13.437,12.45
1981/4/15,0.005643341,0.002256711,8.474283766,13.09,14.36
1981/5/15,0.006734007,0.007228916,2.290932855,13.743,15.92
1981/6/15,0.008918618,0.009098753,4.876425558,13.728,14.12
1981/7/15,0.011049724,0.020715119,3.296192886,14.15,15.23
1981/8/15,0.007650273,0.009633324,5.897121831,14.834,15.58
1981/9/15,0.009761388,0.005204405,-0.017351318,15.276,14.1
1981/10/15,0.003222342,0.001538231,1.091516827,15.535,13.05
1981/11/15,0.004282655,0.006330774,11.72131192,14.646,10.2
1981/12/15,0.003198294,0.002419595,7.11979066,13.595,11.64
1982/1/15,0.003188098,0.002896506,2.914773989,14.188,12.77
1982/2/15,0.003177966,0.007109268,1.957711138,14.485,12.16
1982/3/15,0,0.001728005,2.244788589,14.028,13.44
1982/4/15,0.003167899,0.007340527,6.453616627,14.216,12.36
1982/5/15,0.009473684,0.005793194,8.544011776,14.113,11.54
1982/6/15,0.011470282,0.003658757,1.808252718,13.867,12.75
1982/7/15,0.005154639,0.006785534,3.670616046,14.202,10.25
1982/8/15,0.002051282,0.00426615,6.508367216,13.493,8.42
1982/9/15,0,0.002570235,14.25614792,13.026,7.56
1982/10/15,0.004094166,0.005839416,8.765877378,12.391,7.86
1982/11/15,-0.001019368,0.006938299,16.08829548,11.821,8.18
1982/12/15,-0.003061224,0.00689049,7.259055141,10.643,7.9
1983/1/15,0.002047083,0.002513879,4.616066897,10.364,8.1
1983/2/15,0.00102145,0.00243792,8.069598092,10.667,7.88
1983/3/15,0.001020408,0.006079978,10.06001119,10.45,8.61
1983/4/15,0.007135576,0.005007252,5.908579003,10.704,8.07
1983/5/15,0.004048583,0.009243033,10.28195607,10.469,8.56
1983/6/15,0.002016129,0.003779109,4.61142064,10.519,8.84
1983/7/15,0.004024145,0.008716888,8.112642264,10.63,9.25
1983/8/15,0.003006012,0.004068594,0.352745249,11.18,9.28
1983/9/15,0.002997003,0.009041894,5.741518144,11.927,8.75
1983/10/15,0.003984064,0.011317248,5.265976375,11.571,8.46
1983/11/15,0.00297619,0.009484117,3.067225573,11.728,8.47
1983/12/15,0.002967359,0.009590065,6.291627964,11.659,8.95
1984/1/15,0.006903353,0.008210974,3.673006787,11.779,8.88
1984/2/15,0.00489716,0.012647312,3.402163948,11.677,9.13
1984/3/15,0.002923977,0.009398556,1.934129286,11.959,9.7
1984/4/15,0.003887269,0.010279644,4.587248246,12.279,9.72
1984/5/15,0.001936108,0.003525701,6.972068616,12.467,9.74
1984/6/15,0.001932367,0.009399655,-0.270188026,13.479,9.9
1984/7/15,0.003857281,0.006045248,4.943897155,13.654,10.4
1984/8/15,0.002881844,0.009954174,5.494412533,12.891,10.71
1984/9/15,0.002873563,0.009074792,12.73757009,12.736,10.22
1984/10/15,0.003820439,-0.000625354,3.424098872,12.554,8.99
1984/11/15,0.00190295,0.006555423,6.283409063,11.953,8.42
1984/12/15,0.001899335,0.009680284,1.911773837,11.578,7.84
1985/1/15,0.001895735,0.003987451,7.294654219,11.574,8.02
1985/2/15,0.005676443,0.005606985,11.12057163,11.397,8.46
1985/3/15,0.004703669,0.008102222,6.815155349,11.654,8.15
1985/4/15,0.001872659,-5.76E-05,3.250306173,11.512,7.83
1985/5/15,0.001869159,0.00360106,2.860176532,11.253,7.17
