"","x"
"1",-0.0578507999747736
"2",0.0298740858726557
"3",-0.013508412370387
"4",0.00777267221141457
"5",-0.00281437256567642
"6",0.00231337468443453
"7",-0.000295219869183746
"8",0.000916097588745571
"9",0.000251062819494053
"10",0.00051706334493419
"11",0.000329459762001825
"12",0.000370481582010993
"13",0.000303320970750205
"14",0.000293624278466279
"15",0.000259372572232571
"16",0.000240662053908549
"17",0.00021742606516891
"18",0.000199279969023381
"19",0.000181231906459359
"20",0.000165513164368295
"21",0.000150814294767017
"22",0.00013758986796724
"23",0.000125441639050735
"24",0.000114407113293357
"25",0.000104322979930925
"26",9.51376757114602e-05
"27",8.67561840321299e-05
"28",7.91155170034763e-05
"29",7.21465712590445e-05
"30",6.57920798992987e-05
"31",5.99969855922531e-05
"32",5.47124778174138e-05
"33",4.98933564640685e-05
"34",4.54987422356947e-05
"35",4.14911891060687e-05
"36",3.78366318283504e-05
"37",3.45039649573114e-05
"38",3.14648428808554e-05
"39",2.86934067938853e-05
"40",2.61660804183482e-05
