"","x"
"1",-0.00418550640054944
"2",0.000692098014466706
"3",-0.00133783837001373
"4",-5.43624813954683e-05
"5",-0.000476805762281947
"6",-0.000113448718579912
"7",-0.000177761037714958
"8",-6.20632003447831e-05
"9",-5.79690398528942e-05
"10",-1.59394512038607e-05
"11",-5.3591114317969e-06
"12",1.12864408815073e-05
"13",1.79589503741592e-05
"14",2.44167649005784e-05
"15",2.72351873415727e-05
"16",2.9136822271746e-05
"17",2.95517125052847e-05
"18",2.93342613411333e-05
"19",2.84879325780007e-05
"20",2.73239336857134e-05
"21",2.59179699476196e-05
"22",2.4399214194652e-05
"23",2.28237164135302e-05
"24",2.12487745330654e-05
"25",1.9705262663327e-05
"26",1.82180211245983e-05
"27",1.68008684372964e-05
"28",1.54628497763454e-05
"29",1.42079882178909e-05
"30",1.30375174315959e-05
"31",1.19503484189293e-05
"32",1.09439992047579e-05
"33",1.00149903918305e-05
"34",9.15927484772165e-06
"35",8.37247918463484e-06
"36",7.65011015362356e-06
"37",6.9876832157438e-06
"38",6.38081896890392e-06
"39",5.82530339105917e-06
"40",5.3171277451612e-06
