time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month,cpi_1,w_1,ey_1,ed_1,lt_3,st_1,st_2,st_3,st_4
1980/6/15,0.029962547,0.013194847,0.057775961,-0.015466667,0.092493907,0.082054774,,,,,,,,,
1980/9/15,0.016969697,0.042148797,0.052528272,0.10491152,0.113771943,0.116105604,-0.010379475,0.02895395,0.120378187,-0.005247689,,0.03405083,,,
1980/12/15,0.029797378,0.044032592,0.050006956,0.121179931,0.130749295,0.142765604,-0.005974364,0.001883795,0.016268411,-0.002521316,,0.02666,0.06071083,,
1981/3/15,0.025462963,0.021350586,0.051721337,-0.037898112,0.135880224,0.125796155,-0.030370751,-0.022682006,-0.159078043,0.001714381,0.043386317,-0.016969449,0.009690551,0.043741381,
1981/6/15,0.021444695,0.018687149,0.05131791,0.003030073,0.138856472,0.14286797,-0.032630761,-0.002663437,0.040928185,-0.000403427,0.025084529,0.017071815,0.000102366,0.026762366,0.060813196
1981/9/15,0.028729282,0.035911387,0.057271179,-0.070916094,0.154712887,0.142663239,-0.021359792,0.017224238,-0.073946167,0.005953269,0.023963592,-0.000204731,0.016867084,-0.000102365,0.026557635
1981/12/15,0.010741139,0.010317401,0.056160805,0.025036579,0.137496017,0.117532731,-0.045843404,-0.025593986,0.095952673,-0.001110374,0.001615793,-0.025130508,-0.025335239,-0.008263424,-0.025232873
1982/3/15,0.006376196,0.011771696,0.060704523,-0.101427439,0.141926263,0.1359109,-0.048932827,0.001454295,-0.126464018,0.004543718,0.003069791,0.018378169,-0.006752339,-0.00695707,0.010114745
1982/6/15,0.024287223,0.016883212,0.062320885,-0.014385315,0.14027862,0.128859485,-0.045437673,0.005111516,0.087042124,0.001616362,-0.014434267,-0.007051415,0.011326754,-0.013803754,-0.014008485
1982/9/15,0.007216495,0.013679347,0.057775961,0.058828797,0.131679089,0.07607728,-0.044096614,-0.003203865,0.073214112,-0.004544924,-0.005816928,-0.052782205,-0.05983362,-0.041455451,-0.066585959
1982/12/15,0,0.019797045,0.048797096,0.173107822,0.107376736,0.079521225,-0.029000051,0.006117698,0.114279025,-0.008978865,-0.034549527,0.003443945,-0.04933826,-0.056389675,-0.038011506
1983/3/15,0.004094166,0.011068049,0.045370467,0.087658593,0.105412662,0.086719245,-0.034302418,-0.008728996,-0.085449229,-0.003426629,-0.034865958,0.00719802,0.010641965,-0.04214024,-0.049191655
1983/6/15,0.013251784,0.018129705,0.043557153,0.077346235,0.106114772,0.089052812,-0.025427448,0.007061656,-0.010312358,-0.001813314,-0.025564317,0.002333567,0.009531587,0.012975532,-0.039806673
1983/9/15,0.010060362,0.021978767,0.044060797,0.010335281,0.120459372,0.088139572,-0.02208203,0.003849062,-0.067010954,0.000503644,0.013082636,-0.00091324,0.001420327,0.008618347,0.012062292
1983/12/15,0.009960159,0.03069928,0.045672739,0.013761189,0.117726438,0.09016918,-0.014973459,0.008720513,0.003425908,0.001611942,0.012313776,0.002029608,0.001116368,0.003449935,0.010647955
1984/3/15,0.014792899,0.030557702,0.047486686,-0.049852844,0.120785773,0.097786196,-0.016928984,-0.000141578,-0.063614033,0.001813947,0.014671001,0.007617016,0.009646624,0.008733384,0.011066951
1984/6/15,0.007774538,0.023371348,0.049704468,-0.031291485,0.136309697,0.099818996,-0.02633312,-0.007186354,0.018561359,0.002217782,0.015850325,0.0020328,0.009649816,0.011679424,0.010766184
1984/9/15,0.009643202,0.025280127,0.045773499,0.08770556,0.128716496,0.103072874,-0.020493372,0.001908779,0.118997045,-0.003930969,0.010990058,0.003253878,0.005286678,0.012903694,0.014933302
1984/12/15,0.007640879,0.015663619,0.047184324,-0.023158147,0.116900677,0.078913329,-0.031520705,-0.009616508,-0.110863707,0.001410825,-0.003885096,-0.024159545,-0.020905667,-0.018872867,-0.011255851
1985/3/15,0.012322275,0.017796933,0.04254999,0.125353151,0.117675462,0.082054774,-0.024753057,0.002133314,0.148511298,-0.004634334,-0.018634235,0.003141445,-0.0210181,-0.017764222,-0.015731422
1985/6/15,0.006554307,0.009621478,0.042046471,0.033236915,0.105565288,0.068689478,-0.032424993,-0.008175455,-0.092116236,-0.000503519,-0.023151208,-0.013365296,-0.010223851,-0.034383396,-0.031129518
1985/9/15,0.005581395,0.013552842,0.04254999,-0.003644623,0.104405427,0.073040116,-0.028997148,0.003931364,-0.036881538,0.000503519,-0.01249525,0.004350638,-0.009014658,-0.005873213,-0.030032758
1985/12/15,0.012950971,0.021084931,0.040536166,0.062715369,0.096851334,0.073040116,-0.019451235,0.007532089,0.066359992,-0.002013824,-0.020824128,0,0.004350638,-0.009014658,-0.005873213
1986/3/15,-0.003652968,0.015135642,0.03620871,0.124513619,0.084234465,0.065757078,-0.021073068,-0.005949289,0.06179825,-0.004327456,-0.021330823,-0.007283038,-0.007283038,-0.0029324,-0.016297696
1986/6/15,0.002749771,0.009043752,0.03349305,0.08703753,0.079186874,0.061512651,-0.024449298,-0.00609189,-0.037476089,-0.00271566,-0.025218553,-0.004244427,-0.011527465,-0.011527465,-0.007176827
1986/9/15,0.005484461,0.013834311,0.032789188,0.032198825,0.071916747,0.053537091,-0.018954877,0.004790559,-0.054838705,-0.000703862,-0.024934587,-0.00797556,-0.012219987,-0.019503025,-0.019503025
1986/12/15,0.007272727,0.01194648,0.034096424,-0.015340213,0.072534068,0.058684674,-0.022149944,-0.001887831,-0.047539038,0.001307236,-0.011700397,0.005147583,-0.002827977,-0.007072404,-0.014355442
1987/3/15,0.012635379,0.016107876,0.030376572,0.136318008,0.072453105,0.058179817,-0.014268696,0.004161396,0.151658221,-0.003719852,-0.006733769,-0.000504857,0.004642726,-0.003332834,-0.007577261
1987/6/15,0.011586453,0.014587421,0.030577587,0.024134276,0.085309389,0.059189574,-0.015990166,-0.001520455,-0.112183732,0.000201015,0.013392642,0.001009757,0.0005049,0.005652483,-0.002323077
1987/9/15,0.010572687,0.019390793,0.027964918,0.115826519,0.089458741,0.068487199,-0.008574125,0.004803372,0.091692243,-0.002612669,0.016924673,0.009297625,0.010307382,0.009802525,0.014950108
1987/12/15,0.007846556,0.028907362,0.040032815,-0.28262214,0.090138731,0.058785651,-0.011125453,0.009516569,-0.398448659,0.012067897,0.017685626,-0.009701548,-0.000403923,0.000605834,0.000100977
1988/3/15,0.007785467,0.013344009,0.035605124,0.151810345,0.08193314,0.059189574,-0.022261115,-0.015563353,0.434432485,-0.004427691,-0.003376249,0.000403923,-0.009297625,0,0.001009757
1988/6/15,0.012875536,0.018603203,0.036812355,-0.001983384,0.090727441,0.067880399,-0.018209152,0.005259194,-0.153793729,0.001207231,0.0012687,0.008690825,0.009094748,-0.0006068,0.008690825
1988/9/15,0.012711864,0.02134261,0.038724296,-0.031272264,0.093214853,0.075368473,-0.017381686,0.002739407,-0.02928888,0.001911941,0.003076122,0.007488074,0.016178899,0.016582822,0.006881274
1988/12/15,0.010041841,0.020620455,0.037516684,0.054731953,0.09019963,0.084487968,-0.016896229,-0.000722155,0.086004217,-0.001207612,0.00826649,0.009119495,0.016607569,0.025298394,0.025702317
1989/3/15,0.012427506,0.03037341,0.036912969,0.053653345,0.092372066,0.092707136,-0.006539559,0.009752955,-0.001078608,-0.000603715,0.001644625,0.008219168,0.017338663,0.024826737,0.033517562
1989/6/15,0.015548282,0.007046723,0.033895293,0.121416879,0.088870153,0.083169868,-0.02684857,-0.023326687,0.067763534,-0.003017676,-0.0043447,-0.009537268,-0.0013181,0.007801395,0.015289469
