time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month
1980/1/15,78.0,2217.9,5.58,107.94,10.475,11.92
1980/2/15,79.0,2231.2,5.39,115.12,11.093,14.63
1980/3/15,80.1,2243.3,5.71,112.5,12.109000000000002,14.35
1980/4/15,80.9,2242.7,6.18,102.18,12.01,10.68
1980/5/15,81.7,2254.7,6.07,105.46,10.737,7.94
1980/6/15,82.5,2272.9,5.75,110.76,9.179,8.15
1980/7/15,82.6,2308.6,5.57,114.93,8.955,8.4
1980/8/15,83.2,2334.4,5.23,121.21,9.388,10.12
1980/9/15,83.9,2368.7,5.23,122.38,11.270999999999999,11.5
1980/10/15,84.7,2417.2,5.13,127.13,11.414000000000001,13.22
1980/11/15,85.6,2445.0,5.14,129.04,11.862,14.65
1980/12/15,86.4,2473.0,4.98,137.21,12.935,14.11
1981/1/15,87.2,2484.6,4.97,135.76,12.591,14.78
1981/2/15,88.0,2501.4,5.26,126.91,12.895,14.37
1981/3/15,88.6,2525.8,5.15,132.01,13.437000000000001,12.45
1981/4/15,89.1,2531.5,5.02,136.57,13.09,14.36
1981/5/15,89.7,2549.8,5.11,132.72,13.743,15.92
1981/6/15,90.5,2573.0,5.11,132.41,13.728,14.12
1981/7/15,91.5,2626.3,5.29,129.77,14.15,15.23
1981/8/15,92.2,2651.6,5.35,130.48,14.834000000000001,15.58
1981/9/15,93.1,2665.4,5.7,123.02,15.276,14.1
1981/10/15,93.4,2669.5,5.92,117.08,15.535,13.05
1981/11/15,93.8,2686.4,5.64,124.2,14.645999999999999,10.2
1981/12/15,94.1,2692.9,5.59,126.1,13.595,11.64
1982/1/15,94.4,2700.7,5.73,122.55,14.187999999999999,12.77
1982/2/15,94.7,2719.9,5.85,117.78,14.485,12.16
1982/3/15,94.7,2724.6,6.04,113.31,14.027999999999999,13.44
1982/4/15,95.0,2744.6,6.03,113.79,14.216,12.36
1982/5/15,95.9,2760.5,5.89,116.81,14.113,11.54
1982/6/15,97.0,2770.6,6.2,111.68,13.867,12.75
1982/7/15,97.5,2789.4,6.33,108.71,14.202,10.25
1982/8/15,97.7,2801.3,6.26,108.98,13.493,8.42
1982/9/15,97.7,2808.5,5.75,118.25,13.026,7.56
1982/10/15,98.1,2824.9,5.62,121.97,12.390999999999998,7.86
1982/11/15,98.0,2844.5,5.02,135.47,11.821,8.18
1982/12/15,97.7,2864.1,4.86,138.72,10.642999999999999,7.9
1983/1/15,97.9,2871.3,4.89,138.34,10.364,8.1
1983/2/15,98.0,2878.3,4.73,142.96,10.667,7.88
1983/3/15,98.1,2895.8,4.52,150.88,10.45,8.61
1983/4/15,98.8,2910.3,4.53,152.96,10.704,8.07
1983/5/15,99.2,2937.2,4.3,162.11,10.469000000000001,8.56
1983/6/15,99.4,2948.3,4.34,162.55,10.519,8.84
1983/7/15,99.8,2974.0,4.2,168.91,10.63,9.25
1983/8/15,100.1,2986.1,4.42,162.04,11.18,9.28
1983/9/15,100.4,3013.1,4.39,164.23,11.927,8.75
1983/10/15,100.8,3047.2,4.31,165.8,11.571,8.46
1983/11/15,101.1,3076.1,4.37,163.64,11.728,8.47
1983/12/15,101.4,3105.6,4.55,166.49,11.659,8.95
1984/1/15,102.1,3131.1,4.61,164.93,11.779000000000002,8.88
1984/2/15,102.6,3170.7,4.73,162.74,11.677,9.13
1984/3/15,102.9,3200.5,4.73,158.19,11.959000000000001,9.7
1984/4/15,103.3,3233.4,4.72,157.98,12.279000000000002,9.72
1984/5/15,103.5,3244.8,4.63,161.68,12.467,9.74
1984/6/15,103.7,3275.3,4.95,153.24,13.479000000000001,9.9
1984/7/15,104.1,3295.1,4.97,153.2,13.654000000000002,10.4
1984/8/15,104.4,3327.9,4.92,154.08,12.890999999999998,10.71
1984/9/15,104.7,3358.1,4.56,166.68,12.735999999999999,10.22
1984/10/15,105.1,3356.0,4.66,164.62,12.554,8.99
1984/11/15,105.3,3378.0,4.54,167.49,11.953,8.42
1984/12/15,105.5,3410.7,4.7,162.82,11.578,7.84
1985/1/15,105.7,3424.3,4.58,167.24,11.574000000000002,8.02
1985/2/15,106.3,3443.5,4.31,178.63,11.397,8.46
1985/3/15,106.8,3471.4,4.24,183.23,11.654000000000002,8.15
1985/4/15,107.0,3471.2,4.32,181.27,11.512,7.83
1985/5/15,107.2,3483.7,4.46,178.37,11.253,7.17
1985/6/15,107.5,3504.8,4.19,189.32,10.465,6.83
1985/7/15,107.7,3518.9,4.13,192.43,10.554,7.25
1985/8/15,107.9,3530.1,4.14,192.11,10.759,7.37
1985/9/15,108.1,3552.3,4.24,188.63,10.350999999999999,7.26
1985/10/15,108.5,3575.4,4.35,185.07,10.355,7.41
1985/11/15,109.0,3593.1,4.25,191.53,10.157,7.39
1985/12/15,109.5,3627.2,4.04,200.46,9.607999999999999,7.26
1986/1/15,109.9,3637.7,3.82,211.28,9.198,7.16
1986/2/15,109.7,3655.6,3.77,213.96,9.198,7.24
1986/3/15,109.1,3682.1,3.61,225.42,8.365,6.54
1986/4/15,108.7,3687.3,3.45,235.14,8.029,6.27
1986/5/15,109.0,3699.3,3.46,235.16,8.073,6.28
1986/6/15,109.4,3715.4,3.34,245.04,7.867000000000001,6.12
1986/7/15,109.5,3735.5,3.25,252.04,7.3660000000000005,5.96
1986/8/15,109.6,3749.5,3.5,234.91,7.352,5.32
1986/9/15,110.0,3766.8,3.27,252.93,7.149,5.33
1986/10/15,110.2,3776.2,3.58,233.6,7.382000000000001,5.34
1986/11/15,110.4,3791.0,3.42,245.8,7.32,5.53
1986/12/15,110.8,3811.8,3.4,249.05,7.21,5.84
1987/1/15,111.4,3826.8,3.51,242.17,7.236000000000001,5.74
1987/2/15,111.8,3853.4,3.08,276.45,7.232,5.6
1987/3/15,112.2,3873.2,3.03,283.0,7.202000000000001,5.79
1987/4/15,112.7,3885.2,2.98,292.39,7.41,5.66
1987/5/15,113.0,3918.6,3.05,288.03,7.817,5.81
1987/6/15,113.5,3929.7,3.05,289.83,8.471,5.89
1987/7/15,113.8,3952.9,2.94,302.94,8.421,6.06
1987/8/15,114.3,3989.3,2.87,317.57,8.668,6.48
1987/9/15,114.7,4005.9,2.79,323.4,8.88,6.81
1987/10/15,115.0,4044.0,2.77,327.33,9.225,5.18
1987/11/15,115.4,4069.7,3.58,255.75,8.829,5.39
1987/12/15,115.6,4121.7,3.99,232.0,8.947000000000001,5.85
1988/1/15,116.0,4131.1,3.78,247.08,8.869,5.81
1988/2/15,116.2,4153.5,3.68,255.04,8.523,5.78
1988/3/15,116.5,4176.7,3.55,267.22,8.138,5.89
1988/4/15,117.2,4206.7,3.71,258.89,8.366,6.17
1988/5/15,117.5,4222.3,3.73,261.56,8.552999999999999,6.62
1988/6/15,118.0,4254.4,3.67,266.69,9.005,6.75
