"","x"
"1",-0.000651952196022954
"2",0.000105472018418104
"3",-0.000203896296427782
"4",-8.7709177337949e-06
"5",-7.27703123147654e-05
"6",-1.74510435671732e-05
"7",-2.71092420333738e-05
"8",-9.45960568932476e-06
"9",-8.78082276225914e-06
"10",-2.35900468694069e-06
"11",-7.26433335550237e-07
"12",1.81737959140961e-06
"13",2.83948602456749e-06
"14",3.82385073380874e-06
"15",4.25189934762589e-06
"16",4.53821823053863e-06
"17",4.59708411603276e-06
"18",4.55885650899451e-06
"19",4.42450463686002e-06
"20",4.24160754690638e-06
"21",4.02188812477293e-06
"22",3.78512032361935e-06
"23",3.53992281116178e-06
"24",3.29506655231714e-06
"25",3.05528258050237e-06
"26",2.82436599689918e-06
"27",2.60442409470266e-06
"28",2.39682942717585e-06
"29",2.20218511739341e-06
"30",2.02066618996608e-06
"31",1.85209211291937e-06
"32",1.69606918873006e-06
"33",1.55205149028202e-06
"34",1.41940672730402e-06
"35",1.29745334379263e-06
"36",1.18549214887195e-06
"37",1.0828260277404e-06
"38",9.88774697128772e-07
"39",9.02683912442815e-07
"40",8.23931548242157e-07
